Term,Score,Polarity,isAcquired,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
kind,0.79021937,POS,Y,"IÃ¢ÂÂve never heard anything about MS causing added brain fluid, or a special <span class=""OP"">kind</span> of fluid in one part of your system.","So for years before dx I would get migraines, always in a specific spot, and I always <span class=""OP"">kind</span> of wondered in the back of my mind if something was going on...","That <span class=""OP"">kind</span> of testing has large moral issues to consider, and that's why it will take much longer for any of that hard evidence to become available.","That doesn't make any <span class=""OP"">kind</span> of sense, but whatever, as long as you're feeling good!","My left side still can't hold the <span class=""OP"">kind</span> of definition","ItÃ¢ÂÂs hard and scary to tackle this <span class=""OP"">kind</span> of change alone.","He <span class=""OP"">kind</span> of offered them, he said I could get steroids if I want","donÃ¢ÂÂt forget to be <span class=""OP"">kind</span> to yourself.","I'm just asking if anyone else has that <span class=""OP"">kind</span> of pain","I just want a diagnosis to start some <span class=""OP"">kind</span> of treatment.","Thank you so much for the reply and <span class=""OP"">kind</span> words.","This feels like the <span class=""OP"">kind</span> of tired that I can't fix with caffeine.","" response, or I can be <span class=""OP"">kind</span> of rude and ask what your physical capabilities are knowing that it's none of my business. :-)","What <span class=""OP"">kind</span> of work do you do?","Did your specialist offer you what <span class=""OP"">kind</span> of future you may have?","For me at least, I'm not the <span class=""OP"">kind</span> of person that gets affected by reading up on things like side effects of a disease or a new drug.","His nutrition has <span class=""OP"">kind</span> of gone by the wayside which concerns me, but I have my own problems that also frankly make fast food and frozen entrees a lot easier.","","","",
quick,0.9995785,POS,Y,"Also, just a <span class=""OP"">quick</span> note on permanent symptoms - my neuro said that you start to consider a neurological symptom to be permanent after a year, so there's still time for your symptoms from this list relapse to improve.","I had a <span class=""OP"">quick</span> Google and didn't see anything.","not at all, very <span class=""OP"">quick</span> 20 mins intravenous""","""hey. just want to do a <span class=""OP"">quick</span> CT and make sure I'm not bleeding up here.","Acceptance has come pretty <span class=""OP"">quick</span> for me, but that might be because it took years for me to get diagnosed and I'm essentially an incomplete quad at this point so had gotten used to the idea of being disabled in general.","It has a drawback, though, which is being <span class=""OP"">quick</span> to build tolerance.","I haven't had any bills to deal with, but there are no <span class=""OP"">quick</span> answers here.","DMT ASAP (like soon, a <span class=""OP"">quick</span> few Tysabri infusions would be good while you decide on your ultimate DMT).","The last MRI I had was head, neck and spine and they ran the normal scans for all 3 first, got the contrast and then a <span class=""OP"">quick</span> scan on all 3 again.","but now I have a very short fuse and am <span class=""OP"">quick</span> to anger.","IÃ¢ÂÂll get his ass off the life support so <span class=""OP"">quick</span> that oneÃ¢ÂÂs head will spin.","So as a <span class=""OP"">quick</span> recap","Wishing you a fast recovery and a <span class=""OP"">quick</span> start on your next meds!","Getting used to injecting yourself is a super <span class=""OP"">quick</span> process too, so I wouldn't be too worried about that part.","Your question has been asked a lot recently so I would do a <span class=""OP"">quick</span> search on here, but it's true that there is no 'normal'.","A <span class=""OP"">quick</span> lesson.","I used to be a <span class=""OP"">quick</span> thinker","","","",
jeers,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jeopardize,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jeopardy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jerk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jerky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jitter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jitters,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jittery,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
job-killing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jobless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
joke,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
joker,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jollify,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jolly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jolt,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jovial,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
joy,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
joyful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
joyfully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
joyous,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
joyously,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jubilant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jubilantly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jubilate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jubilation,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jubiliant,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
judder,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
juddering,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
judders,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
judicious,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jumpy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
junk,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
junky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
junkyard,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
justly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
jutter,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
jutters,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
kaput,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
keen,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
keenly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
keenness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
kid-friendly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
kill,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
killed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
killer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
killing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
killjoy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
kills,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
kindliness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
kindly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
kindness,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
knave,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
knife,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
knock,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
knotted,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
knowledgeable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
kook,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
kooky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
kudos,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lack,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lackadaisical,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lacked,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lackey,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lackeys,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lacking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lackluster,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lacks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laconic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lag,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lagged,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lagging,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laggy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lags,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laid-off,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lambast,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lambaste,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lame,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lame-duck,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lament,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lamentable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lamentably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
languid,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
languish,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
languor,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
languorous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
languorously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lanky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lapse,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lapsed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lapses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
large-capacity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lascivious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
last-ditch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
latency,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laud,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
laudable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
laudably,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
laughable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laughably,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
laughingstock,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lavish,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lavishly,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
law-abiding,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lawbreaker,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lawbreaking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lawful,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lawfully,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lawless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lawlessness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
layoff,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
layoff-happy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lazy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lead,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
leading,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
leads,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
leak,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leakage,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leakages,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leaking,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leaks,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leaky,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lean,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lech,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lecher,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lecherous,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lechery,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
led,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
leech,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leer,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leery,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
left-leaning,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
legendary,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lemon,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lengthy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
less-developed,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lesser-known,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
letch,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lethal,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lethargic,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lethargy,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
leverage,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
levity,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lewd,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lewdly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lewdness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
liability,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
liable,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
liar,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
liars,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
liberate,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
liberation,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
liberty,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
licentious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
licentiously,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
licentiousness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lie,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lied,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lier,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lies,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
life-threatening,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lifeless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lifesaver,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
light-hearted,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lighter,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
likable,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
like,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
liked,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
likes,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
liking,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
limit,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
limitation,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
limitations,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
limited,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
limits,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
limp,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lionhearted,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
listless,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
litigious,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
little-known,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lively,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
livid,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lividly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loath,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loathe,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loathing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loathly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loathsome,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loathsomely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
logical,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
lone,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loneliness,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lonely,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loner,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lonesome,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
long-lasting,1,POS,N,"","","","","","","","","","","","","","","","","","","","",
long-time,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
long-winded,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
longing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
longingly,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loophole,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loopholes,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loose,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loot,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lorn,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
lose,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loser,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
losers,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
losing,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
loss,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
losses,1,NEG,N,"","","","","","","","","","","","","","","","","","","","",
